,predictions
0,25.1875115365
1,25.4903414322
2,23.227086446
3,24.1193249231
4,22.7596389299
5,23.6163911672
6,29.7276014897
7,26.576922118
8,27.0133393275
9,30.2820263641
10,28.1650772672
11,26.344202687
12,29.4178605517
13,30.6304975384
14,28.2856553792
15,29.3853867708
16,29.2239702708
17,26.9670160177
18,26.1581663664
19,25.4097660324
20,23.280176196
21,25.9130439342
22,25.9595609054
23,25.7125412399
24,24.4942304909
25,23.6927881933
26,23.3720476378
27,24.438438299
28,26.3153988125
29,26.7514889756
30,26.8169841539
31,26.128205553
32,26.5558135983
33,27.8761730895
34,27.4232632311
35,28.3119054663
36,26.8022189506
37,26.504871315
38,25.8549561096
39,27.433961485
40,26.163027113
41,26.1580682715
42,27.3198016028
43,26.7783613225
44,26.2064500845
45,25.8607922585
46,27.4930415592
47,28.8560592193
48,27.1278393425
49,28.3457024227
50,25.9537106308
51,22.9221613506
52,20.8508354086
53,21.7937786161
54,21.1872968806
55,23.348020483
56,23.9459713749
57,24.2069519091
58,27.5383862871
59,28.8078235969
60,27.9271448786
61,28.448841517
62,24.6712897061
63,22.1358553721
64,23.3319540494
65,25.3613055719
66,21.8174643686
67,22.213185315
68,24.0619649882
69,27.3151952183
70,25.4085221195
71,25.3706047369
72,27.026335753
73,26.6375645264
74,26.5154031336
75,27.9153270155
76,27.174302228
77,26.0511118733
78,24.3067755938
79,22.4552178486
80,20.6115714624
81,22.0407141795
82,24.5025469634
83,21.9782271865
84,20.8984985794
85,21.0048780692
86,19.5640106228
87,18.9537817106
88,20.4255950945
89,20.1602518216
90,21.1502606969
91,25.3452285517
92,22.4881353299
93,21.4800955543
94,20.8863900222
95,21.4662532385
96,22.6980240076
97,22.1003555101
98,20.641867923
99,21.8451537959
100,21.1633745431
101,21.7282211622
102,24.4994333437
103,25.9564450705
104,24.2525576735
105,22.3274726652
106,22.5221535647
107,20.4579141378
108,21.2461720288
109,22.6094300139
110,23.6608730249
111,25.4167165737
112,24.8558013581
113,23.4104183042
114,26.2616582132
115,23.7804546058
116,25.4511221522
117,25.1964869572
118,24.3122147188
119,21.6902407884
120,21.7561954509
121,21.1343946951
122,23.9887400396
123,24.7111854026
124,23.1019471487
125,24.3231825698
126,25.9191186891
127,25.660549208
128,25.1043813679
129,25.0714941046
130,24.4219785233
131,28.0227098051
132,27.9734163824
133,28.1316921949
134,28.1385518153
135,28.8952528829
136,26.1623769573
137,26.047900772
138,24.5738998407
139,26.3207868634
140,25.6660261326
141,25.4077941445
142,27.187682995
143,25.3086125831
144,27.0822985099
145,25.4374315822
146,28.7139664002
147,25.6911496586
148,23.1858386501
149,24.7971432721
150,22.8583152457
151,25.1940246562
152,25.5883124644
153,25.7088765806
154,25.1644621348
155,25.0569670187
156,25.7784035632
157,25.9965819435
158,23.5600924786
159,20.2925845741
160,17.8714356958
161,19.5909633537
162,21.6900741227
163,23.3980830602
164,27.4020554434
165,26.0623278381
166,24.1295025645
167,25.4211077645
168,22.6261947051
169,24.8614196024
170,25.6135993313
171,24.9815252349
172,27.4504555171
173,27.7279697638
174,27.7109046848
175,28.8719641672
176,26.8418875057
177,25.7965400147
178,24.2017956061
179,23.594230869
180,24.2845416576
181,25.8145158807
182,24.0429560637
183,24.5763418175
184,26.0208971611
185,27.0464100146
186,23.2621034783
187,20.9200182521
188,23.9288166109
189,23.0416796956
190,23.7931341904
191,24.5420195627
192,28.3125184909
193,27.9997441518
194,26.2276051059
195,25.6215807625
196,29.0756665812
197,28.0937950139
198,25.4607349803
199,26.2190004284
200,26.3020095281
201,27.3588222512
202,26.9342052277
203,25.8626633438
204,26.7590012484
205,24.8492787523
206,24.8562363957
207,25.750510453
208,22.2670614165
209,24.2260198166
210,26.0531822808
211,28.8189611361
212,27.1088796514
213,23.8535261769
214,22.0702191229
215,21.3647830921
216,22.2910662229
217,23.0949159508
218,23.6750213828
219,24.0958185886
220,24.7087479776
221,20.939030364
222,22.7242834471
223,24.1301224532
224,23.8246559334
225,24.1330938001
226,23.6548338168
227,23.2081227589
228,23.5332821176
229,25.1430473601
230,23.209551325
231,23.4044450095
232,24.9560365211
233,24.6886521112
234,22.7469663222
235,23.967145771
236,24.0393770342
237,23.2855564959
238,25.8382100331
239,24.309803101
240,26.1789060925
241,26.1937419901
242,25.770695153
243,26.3668006296
244,26.7180857608
245,26.3290156646
246,22.6213342268
247,25.5518876734
248,25.7985783481
249,25.3884417743
250,23.9928121709
251,24.9477051042
252,27.3038139198
253,25.0825817324
254,24.4516121186
255,23.4207684264
256,24.8692692964
257,25.4033319045
258,26.1725470425
259,24.2031446665
260,23.717957238
261,24.5892292641
262,26.0722014304
263,25.7131933636
264,25.3837866073
265,24.000089992
266,27.1323404142
267,26.6194812185
268,29.3637931923
269,25.2623213212
270,25.4794846511
271,25.3327226103
272,25.6786170168
273,26.3280071291
274,25.4838642823
275,24.8877263045
276,24.5443310299
277,27.6722479909
278,26.7341774225
279,27.3059400828
280,26.7298231293
281,25.356593579
282,27.1380305869
283,29.7960468042
284,28.1311731787
285,23.9002746888
286,24.8413154267
287,25.0084978936
288,26.8200515987
289,25.9899565176
290,25.2869890732
291,25.2152699089
292,25.3895644651
293,26.5700405735
294,27.0888588599
295,24.7343645315
296,24.6363829225
297,24.5493333989
298,24.2094513373
299,23.6029460109
300,28.1980935845
301,30.7223439716
302,28.3062113593
303,25.3593208422
304,26.5597418599
305,26.2805396177
306,27.4493273994
307,27.618351614
308,26.832186781
309,30.1479470864
310,29.3120546249
311,28.3906263926
312,28.5141155117
313,29.5519554933
314,26.9697801821
315,27.5442497448
316,27.0863113861
317,27.2692805058
318,27.5732185984
319,25.9478876446
320,28.0320190701
321,28.8725132931
322,28.9610863367
323,27.9704756983
324,26.8350709578
325,24.9960536324
326,24.0740820132
327,26.0324311064
328,26.076253684
329,25.1255544205
330,25.5061178847
331,25.9021818744
332,25.0860651736
333,26.0055320506
334,25.1492958741
335,25.4763264508
336,27.8252580572
337,26.8558101433
338,26.0966348169
339,27.9602142499
340,27.3460459807
341,27.15615553
342,28.4582122056
343,27.8101913163
344,27.186609962
345,24.8862236457
346,26.5448603145
347,26.9305334621
348,29.3207562046
349,28.2754255493
350,29.4419796065
351,27.883211777
352,29.0854554058
353,28.4758778611
354,28.3395604293
355,28.952606537
356,28.0148083983
357,28.8149395998
358,27.3323553731
359,30.196920132
360,28.6109804962
361,26.7961343051
362,29.2170062299
363,28.2114911148
364,29.3130001759
365,30.5175343413
366,28.3658747876
367,28.9102560728
368,30.5128592138
369,29.9744682351
370,25.8985715303
371,28.4928839419
372,28.3788072731
373,29.3279132776
374,27.608788413
375,27.8234326244
376,29.0711902356
377,25.8827720961
378,24.4611111029
379,27.799203856
380,25.6409450352
381,28.789798534
382,27.8611896579
383,29.152274698
384,25.9144725877
385,28.5986821581
386,27.7802784895
387,23.0535330279
388,21.3638283967
389,22.3762506608
390,22.8143928622
391,22.6723160015
392,20.7256813423
393,22.9068006037
394,23.2696891432
395,22.8416564417
396,22.5233200076
397,24.1395400812
398,24.1949088432
399,24.1556806123
400,23.1021486264
401,23.4703028968
402,24.0950669764
403,22.2005509845
404,22.7050181659
405,24.4341911758
406,21.3184590476
407,21.2452131694
408,20.763298299
